Zip Code,Population
99301,"78,767"
98052,"67,779"
98012,"64,417"
98682,"58,178"
98208,"57,306"
99208,"53,961"
98115,"53,431"
99336,"51,998"
98103,"51,377"
98391,"51,050"
98632,"51,045"
98270,"50,972"
98023,"50,283"
98387,"49,910"
98225,"49,877"
98003,"49,860"
98105,"48,861"
98118,"48,436"
98042,"47,927"
98133,"47,247"
98661,"47,036"
98902,"46,490"
98092,"45,739"
98226,"44,406"
98058,"43,523"
98801,"43,291"
99205,"43,285"
98034,"43,119"
98837,"43,078"
98204,"42,882"
98223,"42,880"
98125,"42,475"
98501,"41,669"
99362,"41,456"
98374,"39,985"
98036,"39,766"
98503,"39,319"
98087,"39,221"
98033,"39,075"
98277,"38,632"
98122,"38,620"
98059,"38,362"
98198,"38,089"
98032,"38,016"
99206,"37,989"
98030,"37,808"
98006,"37,769"
98584,"37,156"
98604,"37,036"
98908,"36,848"
98031,"36,750"
98026,"36,729"
98290,"35,990"
98203,"35,603"
98038,"35,568"
98056,"35,373"
98117,"35,111"
98404,"35,100"
98004,"35,034"
98155,"35,028"
98502,"34,800"
98513,"34,793"
99163,"34,632"
98002,"34,508"
98444,"33,965"
98366,"33,618"
98926,"33,572"
98683,"33,235"
98011,"33,109"
98258,"32,959"
98168,"32,738"
98001,"32,625"
98445,"32,504"
98662,"32,430"
98229,"32,211"
98901,"32,204"
98144,"31,845"
98607,"31,795"
99223,"31,603"
99352,"31,551"
98272,"31,416"
98312,"31,330"
98499,"31,234"
98370,"31,206"
99337,"31,088"
98375,"30,972"
98802,"30,878"
98021,"30,753"
98273,"30,595"
98296,"30,373"
98027,"30,250"
99207,"29,708"
98512,"29,679"
98685,"29,585"
98201,"29,484"
98684,"29,433"
98037,"29,402"
98007,"29,174"
98109,"29,154"
98367,"29,137"
98029,"28,727"
98271,"28,585"
98498,"28,496"
98466,"28,465"
98074,"28,395"
98382,"28,326"
98146,"28,022"
98311,"27,856"
98338,"27,508"
98178,"27,280"
98284,"26,961"
98665,"26,556"
98116,"26,448"
98106,"26,171"
99216,"26,107"
98107,"25,720"
98119,"25,710"
98008,"25,539"
98335,"25,522"
98040,"25,492"
98372,"25,487"
98102,"25,448"
98112,"25,426"
98531,"25,252"
98409,"25,096"
98373,"25,068"
98188,"24,935"
98516,"24,536"
98248,"24,475"
98126,"24,329"
98055,"24,231"
98072,"24,213"
98532,"24,140"
98520,"24,116"
98626,"24,070"
98110,"24,060"
98108,"23,980"
98597,"23,972"
98362,"23,740"
98075,"23,587"
98405,"23,278"
98671,"23,273"
98406,"23,103"
99354,"22,988"
98664,"22,873"
98944,"22,788"
98292,"22,547"
98028,"22,516"
98053,"22,175"
98199,"21,954"
98177,"21,619"
98221,"21,411"
98371,"21,305"
98383,"21,301"
98275,"21,264"
99224,"21,241"
98407,"21,240"
98022,"21,218"
98166,"21,212"
98043,"21,126"
98422,"21,012"
99203,"20,943"
98310,"20,934"
98264,"20,780"
99202,"20,627"
98408,"20,531"
99403,"20,487"
99004,"20,411"
98020,"20,322"
98686,"20,021"
99212,"19,895"
98642,"19,285"
98433,"18,909"
98005,"18,765"
98332,"18,321"
98121,"18,140"
99344,"17,999"
98274,"17,636"
99217,"17,616"
98506,"17,372"
98942,"17,148"
98230,"17,056"
98136,"16,607"
99218,"16,518"
98282,"16,427"
98930,"16,315"
98467,"16,184"
99353,"15,871"
98368,"15,848"
98321,"15,788"
99338,"15,724"
98065,"15,548"
98233,"15,415"
98045,"14,795"
99037,"14,672"
99016,"14,543"
98663,"14,318"
98903,"14,312"
98077,"14,151"
98104,"14,144"
98363,"14,083"
99350,"14,017"
99201,"13,547"
98579,"13,394"
98360,"13,363"
98057,"13,362"
98948,"13,077"
99006,"13,055"
98951,"12,920"
98101,"12,792"
98848,"12,541"
99114,"12,453"
98674,"12,445"
98660,"12,349"
98019,"11,811"
98148,"11,761"
99019,"11,604"
98424,"11,373"
98329,"11,333"
98823,"11,239"
98580,"11,195"
98390,"11,016"
98550,"10,959"
98446,"10,424"
98541,"10,211"
98346,"10,106"
98528,"10,056"
98070,"10,036"
99324,"9,733"
99320,"9,644"
98328,"9,637"
99021,"9,627"
98252,"9,603"
98418,"9,469"
98247,"9,433"
98327,"9,431"
98611,"9,365"
98841,"9,322"
99026,"9,298"
99349,"9,129"
99005,"9,122"
98606,"9,058"
98629,"8,689"
99022,"8,487"
99156,"8,280"
98403,"8,146"
98250,"8,024"
98563,"7,937"
98815,"7,719"
98589,"7,585"
98596,"7,558"
98239,"7,273"
98620,"7,267"
98826,"7,248"
98294,"7,127"
98354,"7,088"
98337,"7,039"
98047,"7,023"
98465,"7,008"
98953,"6,954"
98014,"6,911"
98577,"6,909"
98675,"6,888"
99001,"6,798"
98672,"6,703"
98625,"6,685"
98024,"6,658"
98388,"6,639"
99204,"6,538"
98922,"6,522"
98331,"6,503"
98936,"6,443"
99027,"6,412"
98315,"6,336"
98236,"6,245"
99326,"6,241"
98402,"6,240"
98816,"6,120"
98569,"6,108"
98855,"5,870"
98443,"5,662"
98260,"5,577"
98010,"5,485"
98439,"5,357"
98812,"5,297"
99109,"5,234"
98932,"5,162"
98576,"5,121"
99141,"5,081"
98359,"5,002"
98365,"4,962"
99025,"4,901"
98524,"4,659"
98570,"4,559"
98232,"4,542"
99003,"4,496"
98640,"4,465"
99357,"4,396"
98840,"4,385"
98844,"4,373"
98237,"4,361"
99111,"4,349"
98349,"4,346"
98051,"4,333"
98851,"4,295"
98380,"4,288"
98249,"4,040"
98257,"4,022"
98266,"3,993"
99323,"3,931"
98937,"3,874"
98251,"3,846"
99122,"3,825"
99328,"3,709"
98333,"3,692"
99009,"3,671"
98245,"3,646"
98857,"3,637"
98938,"3,559"
98631,"3,529"
98601,"3,494"
98935,"3,422"
98557,"3,363"
99343,"3,352"
98947,"3,298"
98039,"3,260"
98546,"3,259"
98610,"3,224"
98339,"3,141"
98240,"3,132"
98648,"3,128"
99011,"3,118"
98591,"3,113"
98392,"3,071"
99166,"3,058"
98813,"2,972"
98831,"2,962"
98340,"2,912"
98612,"2,907"
98595,"2,863"
98244,"2,783"
98568,"2,743"
98295,"2,733"
98856,"2,724"
98261,"2,681"
98952,"2,502"
98828,"2,499"
99169,"2,428"
98548,"2,405"
98314,"2,353"
98564,"2,336"
98862,"2,277"
98847,"2,267"
98356,"2,245"
99347,"2,240"
98537,"2,019"
98241,"1,921"
98822,"1,909"
98850,"1,881"
99173,"1,870"
99110,"1,868"
99148,"1,844"
98858,"1,842"
98376,"1,816"
98843,"1,809"
99013,"1,808"
99361,"1,780"
98278,"1,731"
99036,"1,718"
98253,"1,711"
99181,"1,706"
98357,"1,645"
98586,"1,640"
98624,"1,636"
98635,"1,594"
99360,"1,584"
99402,"1,578"
99133,"1,576"
98592,"1,570"
99116,"1,552"
98377,"1,518"
99159,"1,500"
98421,"1,496"
98617,"1,480"
98325,"1,474"
98593,"1,418"
99101,"1,400"
98207,"1,397"
98588,"1,390"
98342,"1,363"
99348,"1,361"
98645,"1,355"
98394,"1,342"
99139,"1,339"
99031,"1,325"
98934,"1,312"
99161,"1,307"
98638,"1,296"
99185,"1,275"
99115,"1,268"
99180,"1,266"
98547,"1,265"
98923,"1,265"
98846,"1,263"
98836,"1,233"
98351,"1,228"
98603,"1,204"
98281,"1,191"
98303,"1,187"
99330,"1,142"
99008,"1,131"
98320,"1,128"
98933,"1,128"
99155,"1,120"
98605,"1,099"
99138,"1,094"
99119,"1,088"
98649,"1,085"
99126,"1,079"
98849,"1,078"
99171,"1,068"
99029,"1,058"
98639,"1,055"
99030,"1,037"
99123,998
99170,995
98416,983
98358,926
98355,917
98650,916
99033,878
98943,863
98220,861
98651,861
99130,856
98262,847
99341,844
98361,836
98829,829
99012,823
99129,806
98323,805
98134,804
98336,786
98565,769
98587,754
99118,750
99143,739
98447,735
99040,724
99113,719
99032,714
98530,689
99321,687
98396,685
98572,680
98814,666
99157,666
98276,660
98326,657
98243,652
98941,644
98585,638
98304,634
98279,628
98921,627
99023,627
99125,603
99134,592
99158,586
98830,581
98673,579
98535,560
98542,560
98050,552
99102,539
98925,535
99179,530
99103,526
98946,521
98619,493
99167,492
98438,487
98571,472
98581,469
99346,466
98628,461
98350,451
98824,445
99117,441
98552,424
98345,422
99140,422
98280,417
98621,417
99150,414
98283,403
99371,402
98590,401
98613,396
98827,396
98068,392
98643,385
99137,384
99153,371
99363,370
98533,359
98267,346
98644,342
98538,339
98381,333
98555,329
98256,328
99128,316
99124,315
98821,313
99135,311
98305,310
99401,304
98385,301
98558,301
98527,299
98845,293
98940,286
99149,271
98647,261
99335,257
98224,255
98860,250
98582,238
98255,236
98526,235
99356,230
98832,211
98819,209
99322,201
98286,185
98288,181
98560,179
99018,179
98859,178
99121,175
98834,171
98833,162
98602,160
98575,157
99160,156
99176,156
98164,155
98614,154
99329,153
99017,148
99345,146
99359,142
98950,139
99131,138
99152,135
99151,132
99147,128
98817,111
98583,109
98939,104
98330,103
98811,102
98235,98
98364,95
98616,94
98263,76
99146,73
99039,72
98222,71
98544,59
98536,53
98195,51
99174,50
98353,46
99105,45
98670,43
98297,36
99333,29
99154,27
99144,25
98641,22
98853,16
98852,15
99136,12
99034,1
98154,0
98158,0
98174,0
98238,0
98430,0
98559,0
98562,0
99020,0
99164,0